Category,CN Code,Description,Country,Type,Value
Crude steel,7224 90 03,Of high-speed steel,Türkiye,Total,2.14
Crude steel,7224 90 03,Of high-speed steel,Ukraine,Direct,1.45
Crude steel,7224 90 03,Of high-speed steel,Ukraine,Indirect,0.94
Crude steel,7224 90 03,Of high-speed steel,Ukraine,Total,2.39
Crude steel,7224 90 03,Of high-speed steel,United Kingdom,Direct,1.98
Crude steel,7224 90 03,Of high-speed steel,United Kingdom,Indirect,0.13
Crude steel,7224 90 03,Of high-speed steel,United Kingdom,Total,2.11
Crude steel,7224 90 03,Of high-speed steel,United States,Direct,1.67
Crude steel,7224 90 03,Of high-speed steel,United States,Indirect,0.27
Crude steel,7224 90 03,Of high-speed steel,United States,Total,1.94
Crude steel,7224 90 03,Of high-speed steel,EU27,Direct,1.78
Crude steel,7224 90 03,Of high-speed steel,EU27,Indirect,0.18
Crude steel,7224 90 03,Of high-speed steel,EU27,Total,1.97
Crude steel,7224 90 03,Of high-speed steel,"Weighted average
primary",Direct,1.95
Crude steel,7224 90 03,Of high-speed steel,"Weighted average
primary",Indirect,0.4
Crude steel,7224 90 03,Of high-speed steel,"Weighted average
primary",Total,2.35
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Default Direct,emissions,1.95
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Default Indirect,emissions,0.4
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Default Total,emissions,2.35
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Belarus,Direct,0.13
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Belarus,Indirect,0.32
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Belarus,Total,0.45
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Brazil,Direct,2.03
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Brazil,Indirect,0.08
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Brazil,Total,2.1
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",China,Direct,1.71
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",China,Indirect,0.54
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",China,Total,2.25
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",India,Direct,2.72
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",India,Indirect,0.57
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",India,Total,3.28
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Japan,Direct,2.05
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Japan,Indirect,0.32
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Japan,Total,2.36
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",South Korea,Direct,1.72
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",South Korea,Indirect,0.35
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",South Korea,Total,2.07
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Norway,Direct,0.92
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Norway,Indirect,0.08
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Norway,Total,1
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Russia,Direct,3.59
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Russia,Indirect,0.25
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Russia,Total,3.84
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Serbia,Direct,2.32
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Serbia,Indirect,0.59
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Serbia,Total,2.91
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",South Africa,Direct,3.5
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",South Africa,Indirect,1.98
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",South Africa,Total,5.48
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Switzerland,Direct,0.26
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Switzerland,Indirect,0.03
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Switzerland,Total,0.29
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Taiwan,Direct,1.82
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Taiwan,Indirect,0.32
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Taiwan,Total,2.14
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Türkiye,Direct,1.87
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Türkiye,Indirect,0.27
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Türkiye,Total,2.14
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Ukraine,Direct,1.45
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Ukraine,Indirect,0.94
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",Ukraine,Total,2.39
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",United Kingdom,Direct,1.98
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",United Kingdom,Indirect,0.13
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",United Kingdom,Total,2.11
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",United States,Direct,1.67
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",United States,Indirect,0.27
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",United States,Total,1.94
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",EU27,Direct,1.78
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",EU27,Indirect,0.18
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content",EU27,Total,1.97
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content","Weighted average
primary",Direct,1.95
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content","Weighted average
primary",Indirect,0.4
Crude steel,7224 90 05,"Containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the
minimum content","Weighted average
primary",Total,2.35
Crude steel,7224 90 07,Other,Default Direct,emissions,1.95
Crude steel,7224 90 07,Other,Default Indirect,emissions,0.4
Crude steel,7224 90 07,Other,Default Total,emissions,2.35
Crude steel,7224 90 07,Other,Belarus,Direct,0.13
Crude steel,7224 90 07,Other,Belarus,Indirect,0.32
Crude steel,7224 90 07,Other,Belarus,Total,0.45
Crude steel,7224 90 07,Other,Brazil,Direct,2.03
Crude steel,7224 90 07,Other,Brazil,Indirect,0.08
Crude steel,7224 90 07,Other,Brazil,Total,2.1
Crude steel,7224 90 07,Other,China,Direct,1.71
Crude steel,7224 90 07,Other,China,Indirect,0.54
Crude steel,7224 90 07,Other,China,Total,2.25
Crude steel,7224 90 07,Other,India,Direct,2.72
Crude steel,7224 90 07,Other,India,Indirect,0.57
Crude steel,7224 90 07,Other,India,Total,3.28
Crude steel,7224 90 07,Other,Japan,Direct,2.05
Crude steel,7224 90 07,Other,Japan,Indirect,0.32
Crude steel,7224 90 07,Other,Japan,Total,2.36
Crude steel,7224 90 07,Other,South Korea,Direct,1.72
Crude steel,7224 90 07,Other,South Korea,Indirect,0.35
Crude steel,7224 90 07,Other,South Korea,Total,2.07
Crude steel,7224 90 07,Other,Norway,Direct,0.92
Crude steel,7224 90 07,Other,Norway,Indirect,0.08
Crude steel,7224 90 07,Other,Norway,Total,1
Crude steel,7224 90 07,Other,Russia,Direct,3.59
Crude steel,7224 90 07,Other,Russia,Indirect,0.25
Crude steel,7224 90 07,Other,Russia,Total,3.84
Crude steel,7224 90 07,Other,Serbia,Direct,2.32
Crude steel,7224 90 07,Other,Serbia,Indirect,0.59
Crude steel,7224 90 07,Other,Serbia,Total,2.91
Crude steel,7224 90 07,Other,South Africa,Direct,3.5
Crude steel,7224 90 07,Other,South Africa,Indirect,1.98
Crude steel,7224 90 07,Other,South Africa,Total,5.48
Crude steel,7224 90 07,Other,Switzerland,Direct,0.26
Crude steel,7224 90 07,Other,Switzerland,Indirect,0.03
Crude steel,7224 90 07,Other,Switzerland,Total,0.29
Crude steel,7224 90 07,Other,Taiwan,Direct,1.82
Crude steel,7224 90 07,Other,Taiwan,Indirect,0.32
Crude steel,7224 90 07,Other,Taiwan,Total,2.14
Crude steel,7224 90 07,Other,Türkiye,Direct,1.87
Crude steel,7224 90 07,Other,Türkiye,Indirect,0.27
Crude steel,7224 90 07,Other,Türkiye,Total,2.14
Crude steel,7224 90 07,Other,Ukraine,Direct,1.45
Crude steel,7224 90 07,Other,Ukraine,Indirect,0.94
Crude steel,7224 90 07,Other,Ukraine,Total,2.39
Crude steel,7224 90 07,Other,United Kingdom,Direct,1.98
Crude steel,7224 90 07,Other,United Kingdom,Indirect,0.13
Crude steel,7224 90 07,Other,United Kingdom,Total,2.11
Crude steel,7224 90 07,Other,United States,Direct,1.67
Crude steel,7224 90 07,Other,United States,Indirect,0.27
Crude steel,7224 90 07,Other,United States,Total,1.94
Crude steel,7224 90 07,Other,EU27,Direct,1.78
Crude steel,7224 90 07,Other,EU27,Indirect,0.18
Crude steel,7224 90 07,Other,EU27,Total,1.97
Crude steel,7224 90 07,Other,"Weighted average
primary",Direct,1.95
Crude steel,7224 90 07,Other,"Weighted average
primary",Indirect,0.4
Crude steel,7224 90 07,Other,"Weighted average
primary",Total,2.35
Crude steel,7224 90 14,Other,Default Direct,emissions,1.95
Crude steel,7224 90 14,Other,Default Indirect,emissions,0.4
Crude steel,7224 90 14,Other,Default Total,emissions,2.35
Crude steel,7224 90 14,Other,Belarus,Direct,0.13
Crude steel,7224 90 14,Other,Belarus,Indirect,0.32
Crude steel,7224 90 14,Other,Belarus,Total,0.45
Crude steel,7224 90 14,Other,Brazil,Direct,2.03
Crude steel,7224 90 14,Other,Brazil,Indirect,0.08
Crude steel,7224 90 14,Other,Brazil,Total,2.1
Crude steel,7224 90 14,Other,China,Direct,1.71
Crude steel,7224 90 14,Other,China,Indirect,0.54
Crude steel,7224 90 14,Other,China,Total,2.25
Crude steel,7224 90 14,Other,India,Direct,2.72
Crude steel,7224 90 14,Other,India,Indirect,0.57
Crude steel,7224 90 14,Other,India,Total,3.28
Crude steel,7224 90 14,Other,Japan,Direct,2.05
Crude steel,7224 90 14,Other,Japan,Indirect,0.32
Crude steel,7224 90 14,Other,Japan,Total,2.36
Crude steel,7224 90 14,Other,South Korea,Direct,1.72
Crude steel,7224 90 14,Other,South Korea,Indirect,0.35
Crude steel,7224 90 14,Other,South Korea,Total,2.07
Crude steel,7224 90 14,Other,Norway,Direct,0.92
Crude steel,7224 90 14,Other,Norway,Indirect,0.08
Crude steel,7224 90 14,Other,Norway,Total,1
Crude steel,7224 90 14,Other,Russia,Direct,3.59
Crude steel,7224 90 14,Other,Russia,Indirect,0.25
Crude steel,7224 90 14,Other,Russia,Total,3.84
Crude steel,7224 90 14,Other,Serbia,Direct,2.32
Crude steel,7224 90 14,Other,Serbia,Indirect,0.59
Crude steel,7224 90 14,Other,Serbia,Total,2.91
Crude steel,7224 90 14,Other,South Africa,Direct,3.5
Crude steel,7224 90 14,Other,South Africa,Indirect,1.98
Crude steel,7224 90 14,Other,South Africa,Total,5.48
Crude steel,7224 90 14,Other,Switzerland,Direct,0.26
Crude steel,7224 90 14,Other,Switzerland,Indirect,0.03
Crude steel,7224 90 14,Other,Switzerland,Total,0.29
Crude steel,7224 90 14,Other,Taiwan,Direct,1.82
Crude steel,7224 90 14,Other,Taiwan,Indirect,0.32
Crude steel,7224 90 14,Other,Taiwan,Total,2.14
Crude steel,7224 90 14,Other,Türkiye,Direct,1.87
Crude steel,7224 90 14,Other,Türkiye,Indirect,0.27
Crude steel,7224 90 14,Other,Türkiye,Total,2.14
Crude steel,7224 90 14,Other,Ukraine,Direct,1.45
Crude steel,7224 90 14,Other,Ukraine,Indirect,0.94
Crude steel,7224 90 14,Other,Ukraine,Total,2.39
Crude steel,7224 90 14,Other,United Kingdom,Direct,1.98
Crude steel,7224 90 14,Other,United Kingdom,Indirect,0.13
Crude steel,7224 90 14,Other,United Kingdom,Total,2.11
Crude steel,7224 90 14,Other,United States,Direct,1.67
Crude steel,7224 90 14,Other,United States,Indirect,0.27
Crude steel,7224 90 14,Other,United States,Total,1.94
Crude steel,7224 90 14,Other,EU27,Direct,1.78
Crude steel,7224 90 14,Other,EU27,Indirect,0.18
Crude steel,7224 90 14,Other,EU27,Total,1.97
Crude steel,7224 90 14,Other,"Weighted average
primary",Direct,1.95
Crude steel,7224 90 14,Other,"Weighted average
primary",Indirect,0.4
Crude steel,7224 90 14,Other,"Weighted average
primary",Total,2.35
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",Default Direct,emissions,1.95
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",Default Indirect,emissions,0.4
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",Default Total,emissions,2.35
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",Belarus,Direct,0.13
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",Belarus,Indirect,0.32
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",Belarus,Total,0.45
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",Brazil,Direct,2.03
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",Brazil,Indirect,0.08
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",Brazil,Total,2.1
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",China,Direct,1.71
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",China,Indirect,0.54
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",China,Total,2.25
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",India,Direct,2.72
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",India,Indirect,0.57
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",India,Total,3.28
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",Japan,Direct,2.05
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",Japan,Indirect,0.32
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",Japan,Total,2.36
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",South Korea,Direct,1.72
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",South Korea,Indirect,0.35
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",South Korea,Total,2.07
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",Norway,Direct,0.92
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",Norway,Indirect,0.08
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",Norway,Total,1
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",Russia,Direct,3.59
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",Russia,Indirect,0.25
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",Russia,Total,3.84
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",Serbia,Direct,2.32
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",Serbia,Indirect,0.59
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",Serbia,Total,2.91
Crude steel,7224 90 31,"Containing by weight not less than 0,9 % but not more than 1,15 % of carbon, not less than 0,5 % but not more than 2 % of chromium and, if present, not
more than 0,5 % of molybdenum",South Africa,Direct,3.5
